Country Name,Year,Period,PC1,PC2,Hierarchical Cluster,explained_variance_pc1,explained_variance_pc2
Cameroon,2019,Pre-COVID,3.7625618800758063,0.04905297439939985,0,0.29043237373187875,0.14156282426463515
Chile,2019,Pre-COVID,-0.5214472514893229,-1.347270158562329,1,0.29043237373187875,0.14156282426463515
China,2019,Pre-COVID,0.9557995045265764,0.049124264839954725,1,0.29043237373187875,0.14156282426463515
Colombia,2019,Pre-COVID,-0.23641055600341931,-1.727815438455322,1,0.29043237373187875,0.14156282426463515
Costa Rica,2019,Pre-COVID,-1.4428164965190544,-1.4225824233217748,1,0.29043237373187875,0.14156282426463515
Cote d'Ivoire,2019,Pre-COVID,3.084962160389893,0.2812903696289578,0,0.29043237373187875,0.14156282426463515
Croatia,2019,Pre-COVID,-1.6663691355076171,-0.3479459804489633,1,0.29043237373187875,0.14156282426463515
Cyprus,2019,Pre-COVID,-2.3157575547415306,2.882248961943424,2,0.29043237373187875,0.14156282426463515
Czechia,2019,Pre-COVID,-2.5795114170714686,0.5936605103763154,1,0.29043237373187875,0.14156282426463515
Denmark,2019,Pre-COVID,-3.4834964405426487,-0.9124862565891404,1,0.29043237373187875,0.14156282426463515
Dominican Republic,2019,Pre-COVID,0.8664470168603264,-0.28553867512342773,1,0.29043237373187875,0.14156282426463515
Ecuador,2019,Pre-COVID,-0.1213812930144478,-1.2828948792102959,1,0.29043237373187875,0.14156282426463515
"Egypt, Arab Rep.",2019,Pre-COVID,2.8732635444895944,-0.3257516618419476,0,0.29043237373187875,0.14156282426463515
El Salvador,2019,Pre-COVID,0.11911116378327037,-0.44045059292624505,0,0.29043237373187875,0.14156282426463515
Estonia,2019,Pre-COVID,-2.1573916523572976,0.7062304236079615,1,0.29043237373187875,0.14156282426463515
Fiji,2019,Pre-COVID,0.4268142801832638,0.2002255015088356,1,0.29043237373187875,0.14156282426463515
Finland,2019,Pre-COVID,-2.5726640512672865,-1.1965230225526395,1,0.29043237373187875,0.14156282426463515
France,2019,Pre-COVID,-2.821078964362681,-1.9374874763154597,1,0.29043237373187875,0.14156282426463515
"Gambia, The",2019,Pre-COVID,3.3293041343919194,0.3557225492115884,0,0.29043237373187875,0.14156282426463515
Georgia,2019,Pre-COVID,1.0277694466517955,0.6809231134098499,0,0.29043237373187875,0.14156282426463515
Germany,2019,Pre-COVID,-3.2937590610206,-1.5098968210474841,1,0.29043237373187875,0.14156282426463515
Ghana,2019,Pre-COVID,2.3103240662728717,0.4662845969136179,0,0.29043237373187875,0.14156282426463515
Greece,2019,Pre-COVID,-0.747202564885317,-1.3228283523872442,1,0.29043237373187875,0.14156282426463515
Guatemala,2019,Pre-COVID,1.6023120365985772,-0.5461874428141656,0,0.29043237373187875,0.14156282426463515
Guinea,2019,Pre-COVID,4.624126567990174,0.6802317856026399,0,0.29043237373187875,0.14156282426463515
Honduras,2019,Pre-COVID,1.3293072085266202,0.5082878982131317,0,0.29043237373187875,0.14156282426463515
Hungary,2019,Pre-COVID,-1.7218882629776375,2.0700898775047327,1,0.29043237373187875,0.14156282426463515
Iceland,2019,Pre-COVID,-2.749413427448177,-1.1590278061181518,1,0.29043237373187875,0.14156282426463515
India,2019,Pre-COVID,3.601214054095777,0.21202958672385144,0,0.29043237373187875,0.14156282426463515
Indonesia,2019,Pre-COVID,2.477907240235452,0.2647930095976881,1,0.29043237373187875,0.14156282426463515
Ireland,2019,Pre-COVID,-2.553556214769573,3.6302825158143057,1,0.29043237373187875,0.14156282426463515
Israel,2019,Pre-COVID,-1.4854897413856338,-0.73448528724479,1,0.29043237373187875,0.14156282426463515
Italy,2019,Pre-COVID,-1.9297031628514763,-1.782878612009087,1,0.29043237373187875,0.14156282426463515
Japan,2019,Pre-COVID,-3.4114204379363064,-2.2213596442650037,1,0.29043237373187875,0.14156282426463515
Jordan,2019,Pre-COVID,0.43108587504855256,-0.6885800374344948,0,0.29043237373187875,0.14156282426463515
Kazakhstan,2019,Pre-COVID,0.4402000801502798,0.1692193130208689,1,0.29043237373187875,0.14156282426463515
"Korea, Rep.",2019,Pre-COVID,-0.8450800277111677,-0.1304521091861268,1,0.29043237373187875,0.14156282426463515
Kyrgyz Republic,2019,Pre-COVID,1.8174161127087385,1.0516229810247957,0,0.29043237373187875,0.14156282426463515
Latvia,2019,Pre-COVID,-1.3680430175638767,0.25775716919405645,1,0.29043237373187875,0.14156282426463515
Lesotho,2019,Pre-COVID,-1.0807436628721478,-0.3798279517963555,0,0.29043237373187875,0.14156282426463515
Lithuania,2019,Pre-COVID,-1.735074908667978,0.7725893258111697,1,0.29043237373187875,0.14156282426463515
Luxembourg,2019,Pre-COVID,-5.637989327189573,7.350048487808207,2,0.29043237373187875,0.14156282426463515
Madagascar,2019,Pre-COVID,3.474261961610329,0.46504259678926757,0,0.29043237373187875,0.14156282426463515
Malaysia,2019,Pre-COVID,0.3768757407999398,1.2204971152163622,1,0.29043237373187875,0.14156282426463515
Malta,2019,Pre-COVID,-4.112000612619104,4.596301908948937,2,0.29043237373187875,0.14156282426463515
Mauritius,2019,Pre-COVID,-0.41231668778446806,0.24323762317252873,0,0.29043237373187875,0.14156282426463515
Mexico,2019,Pre-COVID,0.21825828389826205,-0.19545569870630405,1,0.29043237373187875,0.14156282426463515
Moldova,2019,Pre-COVID,0.932653516206746,0.23465834245348802,0,0.29043237373187875,0.14156282426463515
Mongolia,2019,Pre-COVID,1.6335414437016968,1.4124186842815967,0,0.29043237373187875,0.14156282426463515
Montenegro,2019,Pre-COVID,-0.5261674066150513,-0.30681613916622563,0,0.29043237373187875,0.14156282426463515
Morocco,2019,Pre-COVID,2.0557539501129503,0.013585816099373276,0,0.29043237373187875,0.14156282426463515
Mozambique,2019,Pre-COVID,2.637929472239134,1.088116116052369,0,0.29043237373187875,0.14156282426463515
Namibia,2019,Pre-COVID,0.08521927306551597,-1.7364442478747633,1,0.29043237373187875,0.14156282426463515
