Country Name,Country Code,Year,"Agriculture, forestry, and fishing, value added (% of GDP)",Current health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of current health expenditure),Domestic private health expenditure (% of current health expenditure),Exports of goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),Gross capital formation (% of GDP),Imports of goods and services (% of GDP),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Manufacturing, value added (% of GDP)","Personal remittances, received (% of GDP)",Population density (people per sq. km of land area),"School enrollment, primary (% gross)","Self-employed, total (% of total employment) (modeled ILO estimate)","Services, value added (% of GDP)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
Chile,CHL,2019,3.987812171378996,9.36262131,4.7671833,50.91718674,49.08280945,27.874667757051203,4.879561641,0.6343675338284385,24.93900989128247,29.73708681103172,69.792,8.969095484346685,0.0249286726642895,25.81966075434547,101.1932068,25.85427415,58.88317546006916,7.493
Chile,CHL,2020,4.045426844099469,9.72726822,5.4753623,56.28879929,43.7111969,31.33039024286121,4.506101396611006,-6.143474792,21.05820710119978,26.852473320113617,63.254,8.996281719417551,0.0260576739589634,26.052172603196635,99.70439911,25.48151248,56.344614578555586,10.934
Chile,CHL,2021,3.5037590864709247,9.34327984,5.19715691,55.62454224,44.37545776,31.97358350208673,4.810199706762282,11.333957069191117,24.068607996172776,32.86486375206978,64.904,8.525427719968679,0.0210718887632302,26.167446727242407,99.36522675,24.92605441,54.98280430063741,9.281
China,CHN,2019,7.143690277581798,5.3502779,2.99503422,55.97903824,44.02029419,18.40999231548008,1.3107159324794762,5.950500753674135,43.25110564334789,17.480103718762372,75.4,26.77472412329007,0.1281117188473853,149.94817968494527,98.2354126,46.49311294,54.26890426636677,4.56
China,CHN,2020,7.698642534163334,5.59359741,3.06103587,54.72392273,45.27583313,18.58613919813325,1.723175548629064,2.238638356346385,43.366674233917394,16.168156501473355,74.262,26.285165756144185,0.1285170177324915,150.30554280315417,99.02442932,46.56242992,54.458535745937866,5.0
China,CHN,2021,7.241017469397629,5.38360548,2.91082072,54.06824493,45.93153,19.943973830708252,1.9307862229453916,8.448469416872769,43.14029907480168,17.358017034928935,75.862,27.54710274425987,0.1261465733897225,150.4397536910657,99.43039703,45.94651804,53.46821052718591,4.55
Colombia,COL,2019,6.410720821683137,7.77954912,5.43606472,69.87634277,30.12365532,15.868038654124076,4.330582409315055,3.186855392455328,21.380609545802724,21.69049532671489,68.992,10.926657535176988,2.2029717586425055,44.98241099594412,109.3555069,49.95404817,58.13645917054377,10.28
Colombia,COL,2020,7.508480466633483,8.71432114,6.21218491,71.28707886,28.71292496,13.522275559330216,2.758894289531405,-7.185914138,19.128146936666163,20.533295408679873,68.244,10.727502351094824,2.561334784028544,45.63316538981523,107.0836868,51.18722682,60.12182627237046,15.983
Colombia,COL,2021,7.770950685625263,9.01772404,6.54606009,72.59104156,27.40896225,16.19700595488641,3.001756937872336,10.801198190487838,18.91695188968284,23.86214043872638,69.517,11.200418569317996,2.702544190607078,46.13625326723749,106.4883575,51.25995351,58.192622380378225,13.898
Costa Rica,CRI,2019,4.202051163024645,7.22124958,5.23799706,72.53588104,27.46307182,34.32532155933081,4.220940166598106,2.417511817625126,16.064085199446396,31.43520845833138,70.152,12.046444945921062,0.8590468618043752,97.91525656090872,110.8911209,27.73373708,69.20499402337319,10.807
Costa Rica,CRI,2020,4.344225560354967,7.8254571,5.61917925,71.80640411,28.05780602,31.906497657805858,3.3704352331303955,-4.273354322,16.163054669034484,28.233388593147417,66.853,12.79084648679197,0.8410635643366557,98.59616137877008,109.7996368,27.80701867,68.23240728829693,16.432
Costa Rica,CRI,2021,4.366713259371273,7.56881428,5.29930544,70.01499939,29.93803596,36.17635702696537,5.530729864068392,7.935762247431469,18.581784885278832,34.60528528,68.377,13.733396136347006,0.914599844344358,99.09886408147278,108.8523102,27.39277503,67.07941613909854,15.139
