Country Name,Mobility Type,Average Peer Retention,Pre-COVID to Early COVID Peer Jaccard,Early COVID to Mid-COVID Peer Jaccard,Pre-COVID to Mid-COVID Peer Jaccard,Pre-COVID,Early COVID,Mid-COVID
Moldova,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Morocco,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Nepal,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Philippines,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Samoa,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Timor-Leste,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Tonga,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Ukraine,moderate mobility,0.4168945089997722,0.6363636363636364,0.3026315789473684,0.3116883116883117,0,1,0
Argentina,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Belarus,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Brazil,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Brunei Darussalam,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Chile,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
China,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Colombia,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Indonesia,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Kazakhstan,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
"Korea, Rep.",moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Malaysia,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Mexico,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Namibia,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Oman,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Panama,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Poland,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Qatar,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Romania,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Russian Federation,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Saudi Arabia,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
South Africa,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Thailand,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Turkiye,moderate mobility,0.4684511784511784,0.72,0.34444444444444444,0.3409090909090909,1,0,0
Albania,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Armenia,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Azerbaijan,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Benin,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Bhutan,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Burkina Faso,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Cameroon,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Cote d'Ivoire,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Ghana,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Guinea,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
India,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Madagascar,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Mongolia,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Mozambique,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Niger,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Senegal,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Sierra Leone,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
Tanzania,moderate mobility,0.5059849185658621,0.6363636363636364,0.43478260869565216,0.44680851063829785,0,1,3
